DATE,DRNUMB,TIMESTART,TIMEEND,ADDRESS,CODE_DEFINED,Attempt,Arrest,LarcenyCode,FID
2017-10-07T04:00:00.000Z,17488335,900,2052,400 WHITTIER AV,BURGLARY,,,All Other,1001
2017-08-29T04:00:00.000Z,17432414,1025,1030,1 DESTINY USA DR,LARCENY,,,All Other,1002
2017-08-29T04:00:00.000Z,17432879,1647,1647,200 ELSNER ST,MV THEFT,,,All Other,1003
2017-08-29T04:00:00.000Z,17433020,1841,1841,500 MARCELLUS ST,BURGLARY,,,All Other,1004
2017-08-29T04:00:00.000Z,17433248,2150,2150,1200 MILTON AV,ROBBERY,,,All Other,1005
2017-08-30T04:00:00.000Z,17433892,900,1149,100 POLK ST,LARCENY,,,All Other,1006
2017-08-30T04:00:00.000Z,17433902,745,1130,200 HUNT AV,BURGLARY,,,All Other,1007
2017-08-30T04:00:00.000Z,17433937,1233,1233,1000 JAMES ST,LARCENY,,,All Other,1008
2017-08-30T04:00:00.000Z,17433967,1257,1257,1100 PARK ST,LARCENY,,Yes,All Other,1009
2017-08-30T04:00:00.000Z,17434661,2159,2159,700 S  CROUSE AV,LARCENY,,,All Other,1010
2017-08-30T04:00:00.000Z,17900870,300,450,1000 E  GENESEE ST,LARCENY,,,All Other,1011
2017-08-31T04:00:00.000Z,17434906,232,232,400 ASH ST,BURGLARY,,,All Other,1012
2017-08-31T04:00:00.000Z,17435181,1035,1035,400 S  CLINTON ST,LARCENY,,,All Other,1013
2017-08-31T04:00:00.000Z,17435853,1824,1824,300 PROSPECT AV,LARCENY,A,Yes,All Other,1014
2017-08-31T04:00:00.000Z,17468382,0,2359,700 BUTTERNUT ST,LARCENY,,Yes,All Other,1015
2017-09-01T04:00:00.000Z,17436588,1730,800,100 ARMSTRONG PL,LARCENY,,,All Other,1016
2017-09-01T04:00:00.000Z,17436771,800,1100,400 GRAVES ST,BURGLARY,,,All Other,1017
2017-09-01T04:00:00.000Z,17437027,1433,1433,300 KELLOGG ST,LARCENY,,,All Other,1018
2017-09-01T04:00:00.000Z,17441897,1730,1730,900 BURNET AV,LARCENY,,,All Other,1019
2017-09-01T04:00:00.000Z,17445213,130,130,200 GLENWOOD AV,LARCENY,,,All Other,1020
2017-09-02T04:00:00.000Z,17437795,11,11,4700 ONONDAGA BLVD,LARCENY,,Yes,All Other,1021
2017-09-02T04:00:00.000Z,17439709,0,0,400 ELLIS ST,LARCENY,,,All Other,1022
2017-09-03T04:00:00.000Z,17439211,1400,130,100 KEEN PL,BURGLARY,,,All Other,1023
2017-09-03T04:00:00.000Z,17439553,1155,1155,200 BENNINGTON DR,LARCENY,,,All Other,1024
2017-09-03T04:00:00.000Z,17439993,1915,1915,800 VALLEY DR,LARCENY,,,All Other,1025
2017-09-03T04:00:00.000Z,17440121,2137,2137,600 MOUNTAINVIEW AV,LARCENY,,,All Other,1026
2017-09-03T04:00:00.000Z,17440160,2231,2231,200 HERALD PL,LARCENY,,,All Other,1027
2017-09-03T04:00:00.000Z,17441790,0,0,800 W  GENESEE ST,LARCENY,,,All Other,1028
2017-09-03T04:00:00.000Z,17900887,1600,1710,4700 ONONDAGA BLVD,LARCENY,,,All Other,1029
2017-09-04T04:00:00.000Z,17440672,1120,1120,500 ROWLAND ST,LARCENY,,,All Other,1030
2017-09-04T04:00:00.000Z,17440964,1612,1612,1200 HARRISON ST,LARCENY,,,All Other,1031
2017-09-04T04:00:00.000Z,17441378,2149,2149,300 CAYUGA ST,BURGLARY,,,All Other,1032
2017-09-05T04:00:00.000Z,17442682,2005,2005,500 HAWLEY AV,ROBBERY,,,All Other,1033
2017-09-05T04:00:00.000Z,17900973,1300,1315,100 MARSHALL ST,LARCENY,,,All Other,1034
2017-09-06T04:00:00.000Z,17443386,1058,1058,1000 W  GENESEE ST,LARCENY,,,All Other,1035
2017-09-06T04:00:00.000Z,17443984,1300,1909,300 W  CALTHROP AV,LARCENY,,Yes,All Other,1036
2017-09-07T04:00:00.000Z,17444456,422,422,200 HARRIETTE AV,BURGLARY,,,All Other,1037
2017-09-07T04:00:00.000Z,17444530,1900,650,300 S  CROUSE AV,LARCENY,,,All Other,1038
2017-09-07T04:00:00.000Z,17444729,1600,1030,100 MICHAELS AV,LARCENY,,,All Other,1039
2017-09-07T04:00:00.000Z,17445366,900,1500,100 BLOSSOM RD,BURGLARY,,,All Other,1040
2017-09-07T04:00:00.000Z,17454545,1355,1355,100 DURSTON AV,LARCENY,,,All Other,1041
2017-09-07T04:00:00.000Z,17462063,100,100,300 MARSHALL ST,LARCENY,,,All Other,1042
2017-09-07T04:00:00.000Z,17477160,1200,1200,100 W  SENECA TPKE,LARCENY,,,All Other,1043
2017-09-07T04:00:00.000Z,17900912,1045,1110,200 W  BORDEN AV,LARCENY,,,All Other,1044
2017-09-08T04:00:00.000Z,17446006,1530,740,100 XAVIER CIR,LARCENY,,,All Other,1045
2017-09-08T04:00:00.000Z,17446384,900,1100,400 LILLIAN AV,LARCENY,,,All Other,1046
2017-09-08T04:00:00.000Z,17446570,1506,1506,1 DESTINY USA DR,LARCENY,,,All Other,1047
2017-09-08T04:00:00.000Z,17446825,1801,1801,400 W  SENECA TPKE,ROBBERY,,Yes,All Other,1048
2017-09-08T04:00:00.000Z,17450351,1130,1130,500 CLARENDON ST,BURGLARY,,,All Other,1049
2017-09-08T04:00:00.000Z,17456426,800,800,1200 AVERY AV,BURGLARY,,,All Other,1050
2017-10-31T04:00:00.000Z,17521155,2109,2109,700 FIRST NORTH ST,LARCENY,,Yes,All Other,1051
2017-10-31T04:00:00.000Z,17522071,1630,2030,1500 SALT SPRINGS RD,LARCENY,,,All Other,1052
2017-11-01T04:00:00.000Z,17521385,56,56,300 TULLY ST,LARCENY,,,All Other,1053
2017-11-01T04:00:00.000Z,17521673,1330,850,4100 S  SALINA ST,LARCENY,,,All Other,1054
2017-11-01T04:00:00.000Z,17522163,1547,1547,4100 S  SALINA ST,LARCENY,,,All Other,1055
2017-11-01T04:00:00.000Z,17522432,1921,1921,100 LAFAYETTE RD,BURGLARY,,,All Other,1056
2017-11-01T04:00:00.000Z,17522514,2058,2058,200 WYOMING ST,BURGLARY,,,All Other,1057
2017-11-01T04:00:00.000Z,17524776,1423,1513,100 HENRY ST,LARCENY,,,All Other,1058
2017-11-01T04:00:00.000Z,17901177,1200,1430,4800 S  SALINA ST,LARCENY,,,All Other,1059
2017-11-02T04:00:00.000Z,17523341,1441,1441,100 HARTSON ST,ROBBERY,,,All Other,1060
2017-11-03T04:00:00.000Z,17524151,213,213,600 S  WEST ST,ROBBERY,,,All Other,1061
2017-11-03T04:00:00.000Z,17524272,1700,630,300 S  CROUSE AV,LARCENY,,,All Other,1062
2017-11-03T04:00:00.000Z,17525021,1759,1759,800 BURNET AV,LARCENY,,,All Other,1063
2017-11-03T04:00:00.000Z,17541144,1030,1030,1500 SOUTH AV,LARCENY,,,All Other,1064
2017-11-03T04:00:00.000Z,17901126,1201,900,100 MARSHALL ST,LARCENY,,,All Other,1065
2017-11-04T04:00:00.000Z,17525944,1125,1125,1900 W  GENESEE ST,LARCENY,,,All Other,1066
2017-11-04T04:00:00.000Z,17526185,1330,1330,1100 JAMES ST,LARCENY,,,All Other,1067
2017-11-04T04:00:00.000Z,17526228,1000,1000,700 SOUTH AV,LARCENY,,,All Other,1068
2017-11-04T04:00:00.000Z,17901116,1600,1610,200 TOMPKINS ST,LARCENY,,,All Other,1069
2017-11-05T04:00:00.000Z,17527395,2300,0,200 W  FAYETTE ST,LARCENY,,,All Other,1070
2017-11-05T04:00:00.000Z,17901117,215,315,100 MARSHALL ST,LARCENY,,,All Other,1071
2017-11-05T04:00:00.000Z,17901118,1203,1650,300 S  SALINA ST,LARCENY,,,All Other,1072
2017-11-05T04:00:00.000Z,17901131,200,215,100 E  ONONDAGA ST,LARCENY,,,All Other,1073
2017-11-06T05:00:00.000Z,17528102,500,519,1200 ALMOND ST,LARCENY,,,All Other,1074
2017-11-06T05:00:00.000Z,17528485,1148,1148,500 S  STATE ST,LARCENY,,,All Other,1075
2017-11-07T05:00:00.000Z,17529679,1107,1107,200 S  WARREN ST,LARCENY,,,All Other,1076
2017-11-07T05:00:00.000Z,17529872,1404,1404,200 BENNINGTON DR,LARCENY,,,All Other,1077
2017-08-03T04:00:00.000Z,17397187,1727,2157,500 HIGHLAND ST,LARCENY,,,All Other,1078
2017-10-16T04:00:00.000Z,17901053,1100,1330,1600 JAMES ST,LARCENY,,,All Other,1079
2017-11-07T05:00:00.000Z,17530104,1718,1718,100 LAFAYETTE RD,BURGLARY,,,All Other,1080
2017-11-08T05:00:00.000Z,17530642,540,540,300 FABIUS ST,BURGLARY,,Yes,All Other,1081
2017-11-08T05:00:00.000Z,17530642,540,540,300 FABIUS ST,BURGLARY,A,Yes,All Other,1082
2017-11-08T05:00:00.000Z,17531037,1230,1230,200 WILKINSON ST,LARCENY,,,All Other,1083
2017-11-08T05:00:00.000Z,17531109,1339,1339,2900 JAMES ST,LARCENY,,,All Other,1084
2017-11-09T05:00:00.000Z,17532205,913,913,1500 SPRING ST,AGGRAVATED ASSAULT,,,All Other,1085
2017-11-09T05:00:00.000Z,17532493,1327,1327,900 JAMES ST,LARCENY,,,All Other,1086
2017-11-09T05:00:00.000Z,17532666,1630,1540,200 E  WATER ST,LARCENY,,,All Other,1087
2017-11-09T05:00:00.000Z,17532991,1953,1953,100 JASPER ST,ROBBERY,,,All Other,1088
2017-11-09T05:00:00.000Z,17543958,1000,1000,100 LOMA AV,LARCENY,,,All Other,1089
2017-11-10T05:00:00.000Z,17533753,1154,1154,2500 JAMES ST,LARCENY,,,All Other,1090
2017-11-10T05:00:00.000Z,17534005,2200,1500,100 VINCENT ST,LARCENY,,,All Other,1091
2017-11-10T05:00:00.000Z,17534125,1700,1700,400 ELLIOTT ST,LARCENY,,,All Other,1092
2017-11-10T05:00:00.000Z,17537695,800,800,1500 MIDLAND AV,LARCENY,,,All Other,1093
2017-11-10T05:00:00.000Z,17582942,1200,1200,1 DESTINY USA DR,LARCENY,,,All Other,1094
2017-11-10T05:00:00.000Z,17901147,1200,1615,200 S  SALINA ST,LARCENY,,Yes,All Other,1095
2017-11-11T05:00:00.000Z,17534588,39,39,100 BELLEVUE AV,ROBBERY,,,All Other,1096
2017-11-11T05:00:00.000Z,17534658,135,145,100 DICKERSON ST,LARCENY,,,All Other,1097
2017-11-11T05:00:00.000Z,17534706,245,245,100 WOODRUFF AV,ROBBERY,,,All Other,1098
2017-11-11T05:00:00.000Z,17534757,514,514,1000 S  SALINA ST,BURGLARY,,,All Other,1099
2017-11-11T05:00:00.000Z,17534936,2300,1045,2900 ERIE BLVD E,BURGLARY,,,All Other,1100
2017-11-11T05:00:00.000Z,17535234,1611,1611,0 HIGHLAND ST,LARCENY,,,All Other,1101
2017-11-12T05:00:00.000Z,17536606,1500,1500,300 APPLE ST,LARCENY,,,All Other,1102
2017-10-17T04:00:00.000Z,17501724,1800,700,200 W  KENNEDY TER,LARCENY,,,All Other,1103
2017-10-17T04:00:00.000Z,17501806,800,800,300 PROSPECT AV,LARCENY,,,All Other,1104
2017-10-17T04:00:00.000Z,17510149,1945,2259,200 BRAMPTON RD,LARCENY,,,All Other,1105
2017-10-17T04:00:00.000Z,17901071,1225,1225,1700 MEADOWBROOK DR,LARCENY,,,All Other,1106
2017-10-18T04:00:00.000Z,17502553,1051,1051,100 W  FAYETTE ST,LARCENY,,,All Other,1107
2017-10-18T04:00:00.000Z,17502610,1130,1150,900 WESTCOTT ST,BURGLARY,,Yes,All Other,1108
2017-10-18T04:00:00.000Z,17502616,1100,1100,3200 S  SALINA ST,LARCENY,,,All Other,1109
2017-10-18T04:00:00.000Z,17502738,1325,1325,100 PARKWAY DR,BURGLARY,,,All Other,1110
2017-10-18T04:00:00.000Z,17502965,1620,1620,300 PULASKI ST,LARCENY,,,All Other,1111
2017-10-18T04:00:00.000Z,17503048,1712,1712,1800 E  FAYETTE ST,LARCENY,,,All Other,1112
2017-10-18T04:00:00.000Z,17503138,1812,1812,3100 BRIGHTON PL,LARCENY,,,All Other,1113
2017-10-18T04:00:00.000Z,17901054,1610,1610,1500 E  GENESEE ST,LARCENY,,,All Other,1114
2017-10-19T04:00:00.000Z,17503643,400,400,100 DAISY ST,LARCENY,,,All Other,1115
2017-10-19T04:00:00.000Z,17503874,915,933,300 S  COLLINGWOOD AV,AGGRAVATED ASSAULT,,Yes,All Other,1116
2017-10-19T04:00:00.000Z,17504247,1500,1500,700 ALLEN ST,LARCENY,,,All Other,1117
2017-10-19T04:00:00.000Z,17512851,830,1630,100 CAMBRIDGE ST,LARCENY,,,All Other,1118
2017-10-20T04:00:00.000Z,17505473,1200,1200,0 ONONDAGA CREEK WALK,ROBBERY,,,All Other,1119
2017-10-20T04:00:00.000Z,17506018,1825,1825,1600 ERIE BLVD E,LARCENY,,,All Other,1120
2017-10-20T04:00:00.000Z,17506243,1030,1030,800 S  STATE ST,LARCENY,,,All Other,1121
2017-10-20T04:00:00.000Z,17507354,1500,2000,100 WEISER CT,LARCENY,,,All Other,1122
2017-10-21T04:00:00.000Z,17506546,250,253,100 SEVENTH NORTH ST ST,BURGLARY,,,All Other,1123
2017-10-21T04:00:00.000Z,17506963,1145,1145,300 GERTRUDE ST,ROBBERY,,,All Other,1124
2017-10-21T04:00:00.000Z,17507615,1700,2156,100 HARRISON ST,LARCENY,,,All Other,1125
2017-10-21T04:00:00.000Z,17901095,2130,2130,500 N  SALINA ST,LARCENY,,,All Other,1126
2017-10-23T04:00:00.000Z,17509275,2000,700,100 INTERPID LN,LARCENY,,,All Other,1127
2017-10-23T04:00:00.000Z,17509315,822,822,2000 BELLEVUE AV,LARCENY,,,All Other,1128
2017-10-23T04:00:00.000Z,17509802,1528,1528,1 DESTINY USA DR,LARCENY,,,All Other,1129
2017-10-24T04:00:00.000Z,17510797,951,951,200 KIMBER AV,LARCENY,,,All Other,1130
2017-10-25T04:00:00.000Z,17512182,1008,1008,1 DESTINY USA DR,LARCENY,,,All Other,1131
2017-10-26T04:00:00.000Z,17513357,403,403,300 PINE ST,LARCENY,,Yes,All Other,1132
2017-10-26T04:00:00.000Z,17513642,545,700,300 COURT ST,LARCENY,,,All Other,1133
2017-10-26T04:00:00.000Z,17901086,1630,1630,400 ROBINEAU RD,LARCENY,,,All Other,1134
2017-10-27T04:00:00.000Z,17515269,1307,1307,3100 E  GENESEE ST,LARCENY,,,All Other,1135
2017-10-27T04:00:00.000Z,17515504,1000,800,100 KIRK AV,LARCENY,,,All Other,1136
2017-10-27T04:00:00.000Z,17515767,1932,1932,4100 S  SALINA ST,LARCENY,,,All Other,1137
2017-10-27T04:00:00.000Z,17515798,1956,1956,100 LAKEVIEW AV,BURGLARY,,,All Other,1138
2017-10-27T04:00:00.000Z,17517920,1200,1200,1400 S  SALINA ST,LARCENY,,,All Other,1139
2017-10-27T04:00:00.000Z,17901092,1900,2000,1 DESTINY USA DR,LARCENY,,,All Other,1140
2017-10-27T04:00:00.000Z,17901096,745,745,800 UNIVERSITY AV,LARCENY,,,All Other,1141
2017-10-28T04:00:00.000Z,17516212,30,59,100 W  LAFAYETTE AV,LARCENY,,,All Other,1142
2017-10-28T04:00:00.000Z,17516845,1451,1451,2700 ERIE BLVD E,LARCENY,,,All Other,1143
